Date,Open,High,Low,Close,Adj Close,Volume
2019-08-14,12.400000,12.400000,12.260000,12.400000,12.400000,74938
2019-08-15,12.380000,12.470000,12.380000,12.400000,12.400000,18754
2019-08-18,12.400000,12.500000,12.500000,12.500000,12.500000,2332
2019-08-19,12.500000,12.480000,12.350000,12.374600,12.374600,23745
2019-08-20,12.374600,12.370000,12.330000,12.330000,12.330000,212351
2019-08-21,12.330000,12.340000,12.310000,12.317300,12.317300,3330
2019-08-22,12.317300,12.300000,12.300000,12.300000,12.300000,423
2019-08-25,12.300000,12.540000,12.460000,12.496900,12.496900,3008
2019-08-26,12.650000,12.670000,12.518500,12.532200,12.532200,34022
2019-08-27,12.532200,12.560000,12.535000,12.560000,12.560000,190856
2019-08-28,12.600000,12.650000,12.600000,12.650000,12.650000,21527
2019-08-29,12.650000,12.650000,12.610000,12.610000,12.610000,12734
2019-09-01,12.610000,12.610000,12.500000,12.560000,12.560000,15175
2019-09-02,12.560000,12.540000,12.520000,12.523500,12.523500,5042
2019-09-03,12.523500,12.730000,12.600000,12.706300,12.706300,31572
2019-09-04,12.706300,12.670000,12.610000,12.640000,12.640000,133345
2019-09-05,12.640000,12.640000,12.440000,12.550300,12.550300,16092
2019-09-08,12.340000,12.390000,12.310000,12.365000,12.365000,15256
2019-09-09,12.365000,12.420000,12.390000,12.417300,12.417300,11422
2019-09-10,12.417300,12.380000,12.260000,12.380000,12.380000,140310
2019-09-11,12.380000,12.410000,12.330000,12.340000,12.340000,117986
2019-09-12,12.340000,12.530000,12.380000,12.504100,12.504100,101165
2019-09-15,12.340000,12.350000,12.240000,12.350000,12.350000,42212
2019-09-16,12.350000,12.460000,12.350000,12.416700,12.416700,107106
2019-09-18,12.416700,12.440000,12.400000,12.430000,12.430000,78357
2019-09-19,12.430000,12.340000,12.290000,12.310600,12.310600,39495
2019-09-22,12.460000,12.460000,12.390000,12.457900,12.457900,11087
2019-09-23,12.395600,12.540000,12.395600,12.498200,12.498200,120946
2019-09-24,12.449900,12.480000,12.400000,12.414600,12.414600,74362
2019-09-25,12.414600,12.520000,12.414600,12.495000,12.495000,55949
2019-09-26,12.400000,12.410000,12.320000,12.356200,12.356200,39029
2019-10-02,12.030000,12.160000,12.010000,12.124000,12.124000,57730
2019-10-03,12.124000,12.250000,12.200000,12.250000,12.250000,50674
2019-10-06,12.250000,12.290000,12.240000,12.248800,12.248800,23436
2019-10-07,12.240000,12.290000,12.190000,12.232300,12.232300,39016
2019-10-10,12.232300,12.330000,12.250000,12.250000,12.250000,34294
2019-10-15,12.250000,12.250000,12.200000,12.250000,12.250000,16432
2019-10-16,12.250000,12.220000,12.170000,12.170000,12.170000,19342
2019-10-17,12.170000,12.250000,12.110000,12.180000,12.180000,26424
2019-10-22,12.180000,12.270000,12.190000,12.248200,12.248200,31681
2019-10-23,12.248200,12.300000,12.260000,12.298300,12.298300,58506
2019-10-24,12.298300,12.240000,12.190000,12.240000,12.240000,12978
2019-10-27,12.240000,12.390000,12.240000,12.372500,12.372500,1371
2019-10-28,12.372500,12.370000,12.350000,12.359100,12.359100,22792
2019-10-29,12.359100,12.300000,12.191000,12.193100,12.193100,27081
2019-10-30,12.193100,12.250000,12.190000,12.205000,12.205000,7365
2019-10-31,12.205000,12.350000,12.250000,12.347200,12.347200,23780
2019-11-03,12.347200,12.439800,12.400000,12.414700,12.414700,7305
2019-11-04,12.414700,12.410000,12.360000,12.360000,12.360000,36868
2019-11-05,12.360000,12.280000,12.090000,12.126300,12.126300,61459
2019-11-06,12.126300,12.126300,12.070000,12.097800,12.097800,20987
2019-11-07,12.097800,12.090000,12.010000,12.022500,12.022500,23127
2019-11-10,11.980000,11.980000,11.870000,11.879300,11.879300,7952
2019-11-11,11.879300,11.910000,11.830000,11.857300,11.857300,17837
2019-11-12,11.857300,11.890000,11.870000,11.886800,11.886800,10838
2019-11-13,11.886800,11.910000,11.886800,11.910000,11.910000,6918
2019-11-14,11.920000,11.930000,11.900000,11.905400,11.905400,53008
2019-11-17,11.905400,11.905400,11.890000,11.890000,11.890000,9803
2019-11-18,11.890000,11.820000,11.720000,11.779600,11.779600,63463
2019-11-19,11.779600,11.790000,11.779600,11.786000,11.786000,2097
2019-11-20,11.786000,11.890000,11.880000,11.881700,11.881700,1210
2019-11-21,11.881700,11.800000,11.800000,11.800000,11.800000,1694
2019-11-24,11.800000,11.790000,11.790000,11.790000,11.790000,169
2019-11-25,11.790000,11.731000,11.710000,11.710000,11.710000,6325
2019-11-26,11.710000,11.750000,11.650000,11.650000,11.650000,35982
2019-11-27,11.713000,11.740000,11.710000,11.718800,11.718800,13760
2019-11-28,11.718800,11.727000,11.710000,11.720000,11.720000,11141
2019-12-01,11.720000,11.850000,11.790000,11.793800,11.793800,5079
2019-12-02,11.793800,11.793800,11.720000,11.723600,11.723600,17352
2019-12-03,11.840000,11.910000,11.840000,11.902200,11.902200,13094
2019-12-04,11.902200,12.020000,11.902200,11.910000,11.910000,33691
2019-12-05,11.910000,11.910000,11.850000,11.850000,11.850000,112307
2019-12-08,null,null,null,null,null,null
2019-12-09,11.850000,11.780000,11.750000,11.775100,11.775100,49978
2019-12-10,11.790000,11.820000,11.750000,11.803600,11.803600,42729
2019-12-11,11.803600,11.850000,11.800000,11.850000,11.850000,95400
2019-12-12,11.850000,11.970000,11.850000,11.869700,11.869700,275532
2019-12-15,11.869700,11.920000,11.880000,11.910800,11.910800,8412
2019-12-16,11.900000,11.960000,11.900000,11.960000,11.960000,32478
2019-12-17,11.960000,11.990000,11.940000,11.977700,11.977700,6399
2019-12-18,11.977700,11.980000,11.920000,11.922600,11.922600,28069
2019-12-19,11.922600,11.920000,11.920000,11.920000,11.920000,2484
2019-12-22,11.880000,11.880000,11.840000,11.840000,11.840000,20845
2019-12-23,11.840000,11.950000,11.910000,11.943500,11.943500,27008
2019-12-24,11.943500,12.000000,11.960000,11.981100,11.981100,6519
2019-12-25,12.069000,12.107000,12.037000,12.038700,12.038700,9658
2019-12-26,12.038700,12.129000,12.099000,12.129000,12.129000,16715
